,imdb_id,title,isAdult,year,minutes,genres,imdb_av_rating,imdb_num_votes,worldwide,domestic,tmdb_rating,tmdb_votes,popularity
0,tt0035423,Kate & Leopold,0,2001,118.0,"Comedy,Fantasy,Romance",6.4,75863.0,76019048,47121859.0,6.2,806,10.179
1,tt0113026,The Fantasticks,0,2000,86.0,"Musical,Romance",5.6,1086.0,49666,49666.0,5.6,17,2.73
2,tt0116748,Karobaar: The Business of Love,0,2000,180.0,"Drama,Romance",4.5,211.0,45200,45200.0,0.0,0,0.6
3,tt0118589,Glitter,0,2001,104.0,"Drama,Music,Romance",2.2,21033.0,5271666,4274407.0,3.7,66,4.855
4,tt0118694,In the Mood for Love,0,2000,98.0,"Drama,Romance",8.1,111412.0,12854953,2738980.0,8.1,964,13.184000000000001
5,tt0118926,The Dancer Upstairs,0,2002,132.0,"Crime,Drama,Thriller",6.9,6148.0,5227348,2377348.0,7.0,29,3.446
6,tt0120117,Shikari,0,2000,160.0,"Drama,Thriller",4.6,383.0,40712,40712.0,5.0,1,1.609
7,tt0120202,State and Main,0,2000,105.0,"Comedy,Drama",6.7,19820.0,9206279,6944471.0,6.5,99,7.534
8,tt0120630,Chicken Run,0,2000,84.0,"Adventure,Animation,Comedy",7.0,168810.0,224834564,106834564.0,6.6,2879,19.082
9,tt0120667,Fantastic Four,0,2005,106.0,"Action,Adventure,Fantasy",5.7,302487.0,330120875,154696080.0,5.7,6175,17.271
10,tt0120679,Frida,0,2002,123.0,"Biography,Drama,Romance",7.4,76679.0,56298474,25885000.0,7.5,1145,9.186
11,tt0120681,From Hell,0,2001,122.0,"Horror,Mystery,Thriller",6.8,141911.0,74558115,31602566.0,6.7,1610,11.342
12,tt0120737,The Lord of the Rings: The Fellowship of the Ring,0,2001,178.0,"Adventure,Drama,Fantasy",8.8,1564249.0,868385360,313364114.0,8.3,15886,32.786
13,tt0120753,The Million Dollar Hotel,0,2000,122.0,"Drama,Mystery,Thriller",5.9,20217.0,105983,59989.0,6.1,157,6.484
14,tt0120755,Mission: Impossible II,0,2000,123.0,"Action,Adventure,Thriller",6.1,299004.0,546388105,215409889.0,6.1,3916,19.129
15,tt0120804,Resident Evil,0,2002,100.0,"Action,Horror,Sci-Fi",6.7,236978.0,102984862,40119709.0,6.5,3757,9.807
16,tt0120824,The Shipping News,0,2001,111.0,Drama,6.7,31219.0,24690441,11434216.0,6.4,201,7.347
17,tt0120903,X-Men,0,2000,104.0,"Action,Adventure,Sci-Fi",7.4,549568.0,296339528,157299718.0,7.0,7507,0.925
18,tt0120912,Men in Black II,0,2002,88.0,"Action,Adventure,Comedy",6.2,326210.0,441818803,190418803.0,6.3,6413,28.444000000000003
19,tt0120913,Titan A.E.,0,2000,94.0,"Action,Adventure,Animation",6.6,57222.0,36754634,22753426.0,6.5,566,11.720999999999998
20,tt0120917,The Emperor's New Groove,0,2000,78.0,"Adventure,Animation,Comedy",7.3,167763.0,169327687,89302687.0,7.5,3816,19.399
21,tt0121164,Corpse Bride,0,2005,77.0,"Animation,Drama,Family",7.3,230060.0,117195061,53359111.0,7.4,4931,14.249
22,tt0121765,Star Wars: Episode II - Attack of the Clones,0,2002,142.0,"Action,Adventure,Fantasy",6.5,604050.0,640912840,302191252.0,6.5,8125,16.668
23,tt0121766,Star Wars: Episode III - Revenge of the Sith,0,2005,140.0,"Action,Adventure,Fantasy",7.5,671259.0,849997605,380270577.0,7.3,8402,20.093
24,tt0122459,Return to Me,0,2000,115.0,"Comedy,Drama,Romance",6.9,18877.0,36609995,32722798.0,6.4,121,8.453
25,tt0125022,Heartbreakers,0,2001,123.0,"Comedy,Crime,Romance",6.2,49609.0,57756408,40336607.0,5.9,488,9.113999999999999
26,tt0126029,Shrek,0,2001,90.0,"Adventure,Animation,Comedy",7.8,582005.0,484409218,267665011.0,7.6,9712,23.019000000000002
27,tt0127349,Waking the Dead,0,2000,105.0,"Drama,Mystery,Romance",6.5,6569.0,270745,270745.0,6.8,42,3.741
28,tt0130623,Dinosaur,0,2000,82.0,"Adventure,Animation,Family",6.5,49713.0,349822765,137748063.0,6.4,1341,14.03
29,tt0131704,The Adventures of Rocky & Bullwinkle,0,2000,92.0,"Adventure,Animation,Comedy",4.1,18689.0,35134820,26005820.0,4.0,215,6.636
30,tt0132245,Driven,0,2001,116.0,"Action,Drama,Sport",4.6,38182.0,54744738,32720065.0,4.8,378,11.513
31,tt0133152,Planet of the Apes,0,2001,119.0,"Action,Adventure,Sci-Fi",5.7,204566.0,362211740,180011740.0,5.7,2387,14.908
32,tt0133240,Treasure Planet,0,2002,95.0,"Adventure,Animation,Family",7.2,94578.0,109578115,38176783.0,7.4,2233,15.729000000000001
33,tt0134084,Scream 3,0,2000,116.0,"Horror,Mystery",5.5,117953.0,161834276,89143175.0,5.9,1642,11.219000000000001
34,tt0134630,Duets,0,2000,112.0,"Comedy,Drama,Music",6.1,8903.0,6620242,4739023.0,5.9,76,5.591
35,tt0134847,Pitch Black,0,2000,109.0,"Horror,Sci-Fi",7.1,217805.0,53187659,39240659.0,6.8,2837,8.831
36,tt0134983,Supernova,0,2000,90.0,"Horror,Sci-Fi,Thriller",4.9,16616.0,14828081,14230455.0,4.9,183,7.539
37,tt0138524,Intolerable Cruelty,0,2003,100.0,"Comedy,Crime,Romance",6.2,87070.0,119898783,35327628.0,5.9,780,10.529000000000002
38,tt0138681,The Opportunists,0,2000,90.0,"Comedy,Crime,Drama",5.6,1096.0,584054,584054.0,5.2,5,1.618
39,tt0138749,The Road to El Dorado,0,2000,89.0,"Adventure,Animation,Comedy",6.9,78306.0,76432727,50863742.0,7.1,2162,16.032
40,tt0138946,The Yards,0,2000,115.0,"Crime,Drama,Romance",6.4,18989.0,924036,889352.0,6.2,204,7.2379999999999995
41,tt0139654,Training Day,0,2001,122.0,"Crime,Drama,Thriller",7.7,367055.0,104876233,76631907.0,7.4,3175,14.494000000000002
42,tt0141399,Isn't She Great,0,2000,95.0,"Biography,Comedy,Drama",5.4,2210.0,3003296,2962465.0,4.5,22,2.22
43,tt0141907,Town & Country,0,2001,104.0,"Comedy,Romance",4.4,4534.0,10372291,6719973.0,4.4,35,4.586
44,tt0141926,U-571,0,2000,116.0,"Action,War",6.6,73912.0,127666415,77122415.0,6.3,600,12.667
